ticker,company_name,gics_subindustry,market_cap,avg_dollar_volume
GE,GE Aerospace,Aerospace & Defense,180000000000,2000000000
BA,Boeing Co.,Aerospace & Defense,150000000000,2500000000
LMT,Lockheed Martin Corp.,Aerospace & Defense,110000000000,1000000000
RTX,RTX Corp.,Aerospace & Defense,160000000000,1500000000
NOC,Northrop Grumman Corp.,Aerospace & Defense,80000000000,800000000
CAT,Caterpillar Inc.,Machinery,180000000000,1500000000
DE,Deere & Co.,Machinery,110000000000,800000000
ETN,Eaton Corp plc,Electrical Equipment,130000000000,1000000000
EMR,Emerson Electric Co.,Electrical Equipment,70000000000,800000000
GEV,GE Vernova Inc.,Electrical Equipment,150000000000,2500000000
NEE,NextEra Energy Inc.,Electric Utilities,150000000000,1500000000
DUK,Duke Energy Corp.,Electric Utilities,90000000000,700000000
SO,Southern Co.,Electric Utilities,90000000000,700000000
AEP,American Electric Power Co. Inc.,Electric Utilities,55000000000,500000000
CEG,Constellation Energy Corp.,Independent Power and Renewable Electricity Producers,120000000000,1500000000
VST,Vistra Corp.,Independent Power and Renewable Electricity Producers,80000000000,1500000000
SRE,Sempra,Multi-Utilities,55000000000,500000000
ENPH,Enphase Energy Inc.,Electrical Equipment,20000000000,400000000
SEDG,SolarEdge Technologies Inc.,Electrical Equipment,5000000000,150000000
FSLR,First Solar Inc.,Semiconductors & Semiconductor Equipment,25000000000,600000000
RUN,Sunrun Inc.,Independent Power and Renewable Electricity Producers,5000000000,150000000
TT,Trane Technologies plc,Building Products,90000000000,800000000
EMN,Eastman Chemical Co.,Chemicals,12000000000,150000000
LIN,Linde plc,Chemicals,200000000000,1000000000
FCX,Freeport-McMoRan Inc.,Metals & Mining,80000000000,1500000000
NEM,Newmont Corp.,Metals & Mining,70000000000,1000000000
BAK,Baker Hughes Co.,Energy Equipment & Services,35000000000,700000000
F,Ford Motor Co.,Automobiles,50000000000,2000000000
GM,General Motors Co.,Automobiles,55000000000,1500000000
RIVN,Rivian Automotive Inc.,Automobiles,15000000000,600000000
LCID,Lucid Group Inc.,Automobiles,7000000000,400000000
NIO,NIO Inc.,Automobiles,15000000000,700000000
ALB,Albemarle Corp.,Chemicals,12000000000,400000000
SQM,Sociedad Quimica y Minera de Chile,Chemicals,11000000000,200000000
STM,STMicroelectronics NV,Semiconductors & Semiconductor Equipment,30000000000,300000000
ON,ON Semiconductor Corp.,Semiconductors & Semiconductor Equipment,35000000000,600000000
SWKS,Skyworks Solutions Inc.,Semiconductors & Semiconductor Equipment,15000000000,300000000
